pathogen_cat,vaccine_coverage_cat,endemic_time,prop_susceptible
Diphtheria,No vaccinations,7147,0.2404683669481468
Diphtheria,No vaccinations,6993,0.2360281526821137
Diphtheria,No vaccinations,5621,0.1966932759601632
Diphtheria,No vaccinations,7392,0.24762135851050135
Diphtheria,No vaccinations,7056,0.23791362361657753
Diphtheria,No vaccinations,7000,0.23624452955789788
Diphtheria,No vaccinations,5369,0.18947007156429024
Diphtheria,No vaccinations,5509,0.19343347766421626
Diphtheria,No vaccinations,6090,0.21004399267347829
Diphtheria,No vaccinations,5733,0.19980036447187147
Diphtheria,No vaccinations,6594,0.22458412817001785
Diphtheria,No vaccinations,7658,0.25539692234283295
Diphtheria,No vaccinations,6216,0.21368625705830363
Diphtheria,No vaccinations,5768,0.20087149127045392
Diphtheria,No vaccinations,6034,0.2084740633042823
Diphtheria,No vaccinations,6937,0.2344234993431288
Diphtheria,No vaccinations,5180,0.18414346956570116
Diphtheria,No vaccinations,7707,0.2567786277523683
Diphtheria,No vaccinations,5425,0.19107872079333665
Diphtheria,No vaccinations,7259,0.24373949224554997
Diphtheria,No vaccinations,7679,0.2559513526321981
Diphtheria,No vaccinations,6342,0.21725513420362802
Diphtheria,No vaccinations,5922,0.20524708419101864
Diphtheria,No vaccinations,6363,0.21787345605269587
Diphtheria,No vaccinations,6937,0.23441520294992346
Diphtheria,No vaccinations,5362,0.18932859561273
Diphtheria,No vaccinations,7007,0.2363920484358232
Diphtheria,No vaccinations,6755,0.22918462610878287
Diphtheria,No vaccinations,6769,0.2295346490884278
Diphtheria,No vaccinations,5327,0.1883131104738637
Diphtheria,No vaccinations,5992,0.2072678274117636
Diphtheria,No vaccinations,6167,0.21222538016424147
Diphtheria,No vaccinations,6748,0.22894430033063942
Diphtheria,No vaccinations,5334,0.18856734167599848
Diphtheria,No vaccinations,7945,0.26370853720035664
Diphtheria,No vaccinations,6545,0.22312053672547885
Diphtheria,No vaccinations,6909,0.23360843097108724
Diphtheria,No vaccinations,8708,0.28607116602203153
Diphtheria,No vaccinations,7231,0.2429034349149481
Diphtheria,No vaccinations,6545,0.22309186524505484
Diphtheria,No vaccinations,6398,0.21889304195825854
Diphtheria,No vaccinations,6874,0.2326143466916524
Diphtheria,No vaccinations,7511,0.25104465123658176
Diphtheria,No vaccinations,5089,0.181630495406746
Diphtheria,No vaccinations,6328,0.216871905787537
Diphtheria,No vaccinations,5257,0.18632964201908064
Diphtheria,No vaccinations,6769,0.22952344197480526
Diphtheria,No vaccinations,5866,0.20369321218239347
Diphtheria,No vaccinations,6559,0.2235146500549475
Diphtheria,No vaccinations,5299,0.18753262830844142
Diphtheria,No vaccinations,6188,0.21289155718752845
Diphtheria,No vaccinations,5978,0.2068746167020688
Diphtheria,No vaccinations,5621,0.19670381250894148
Diphtheria,No vaccinations,6293,0.21588769521451998
Diphtheria,No vaccinations,5768,0.20086693383741655
Diphtheria,No vaccinations,6013,0.20781099195618025
Diphtheria,No vaccinations,5908,0.2048876768666797
Diphtheria,No vaccinations,6356,0.21768561091440314
Diphtheria,No vaccinations,6097,0.21021310947563746
Diphtheria,No vaccinations,6104,0.21041430993398938
Diphtheria,No vaccinations,7063,0.23808038798994813
Diphtheria,No vaccinations,5922,0.20526649679052997
Diphtheria,No vaccinations,5978,0.20688267723154244
Diphtheria,No vaccinations,6097,0.21020372945362628
Diphtheria,No vaccinations,5705,0.19901821168031958
Diphtheria,No vaccinations,6111,0.21066064209161225
Diphtheria,No vaccinations,5509,0.19349734199965524
Diphtheria,No vaccinations,5516,0.19366567501427115
Diphtheria,No vaccinations,8540,0.28113658588724605
Diphtheria,No vaccinations,7637,0.25471342601150443
Diphtheria,No vaccinations,5565,0.19504972696028297
Diphtheria,No vaccinations,7483,0.25025079804218914
Diphtheria,No vaccinations,7784,0.25905031887567875
Diphtheria,No vaccinations,7994,0.2651745732793952
Diphtheria,No vaccinations,6440,0.22006736520038928
Diphtheria,No vaccinations,5747,0.20022380920923444
Diphtheria,No vaccinations,6573,0.22392941687167284
Diphtheria,No vaccinations,6468,0.22092849594536992
Diphtheria,No vaccinations,7721,0.2571734871810241
Diphtheria,No vaccinations,7448,0.24927695754557433
Diphtheria,No vaccinations,6699,0.2275331712590915
Diphtheria,No vaccinations,6279,0.2154493784077104
Diphtheria,No vaccinations,8148,0.2676018763977903
Diphtheria,No vaccinations,6944,0.23460515917739483
Diphtheria,No vaccinations,7994,0.265154136117401
Diphtheria,No vaccinations,5425,0.19112937313020167
Diphtheria,No vaccinations,7882,0.26190625456571665
Diphtheria,No vaccinations,7924,0.2631283721113138
Diphtheria,No vaccinations,5131,0.18276822830807482
Diphtheria,No vaccinations,5103,0.18195557725259243
Diphtheria,No vaccinations,6818,0.23099745465538965
Diphtheria,No vaccinations,5999,0.20739926259284266
Diphtheria,No vaccinations,5894,0.2044465013278015
Diphtheria,No vaccinations,5369,0.18950921264562176
Diphtheria,75% lower,7686,0.20781349987956865
Diphtheria,75% lower,9023,0.23778073620724205
Diphtheria,75% lower,6783,0.1876825274102776
Diphtheria,75% lower,8722,0.23105754573639903
Diphtheria,75% lower,7644,0.2068570136564809
Diphtheria,75% lower,8190,0.21909117407957446
Diphtheria,75% lower,6755,0.18706894729075552
Diphtheria,75% lower,6867,0.1895576047605366
Diphtheria,75% lower,6713,0.18612082280121828
Diphtheria,75% lower,7217,0.19735080340305863
Diphtheria,75% lower,7686,0.20782866367014594
Diphtheria,75% lower,6580,0.1832149111965092
Diphtheria,75% lower,8232,0.22005718040169286
Diphtheria,75% lower,8113,0.21732668919987128
Diphtheria,75% lower,8603,0.2283082716702996
Diphtheria,75% lower,7581,0.20544311148217187
Diphtheria,75% lower,6804,0.1881501760372968
Diphtheria,75% lower,6321,0.17744775703508361
Diphtheria,75% lower,7721,0.20855537275728692
Diphtheria,75% lower,8323,0.22205556014548353
Diphtheria,75% lower,7203,0.19700806631920786
Diphtheria,75% lower,7056,0.19376662885005577
Diphtheria,75% lower,8869,0.23435100045804275
Diphtheria,75% lower,7140,0.19562672131623043
Diphtheria,75% lower,8092,0.21686845666236074
Diphtheria,75% lower,7602,0.20592104167596434
Diphtheria,75% lower,7595,0.20575445317234253
Diphtheria,75% lower,7714,0.20844084037463598
Diphtheria,75% lower,8393,0.22363571994279632
Diphtheria,75% lower,8239,0.22017756068547917
Diphtheria,75% lower,8365,0.2230087628601002
Diphtheria,75% lower,8043,0.2157386011435982
Diphtheria,75% lower,8155,0.2183089729840455
Diphtheria,75% lower,7756,0.20934802210675457
Diphtheria,75% lower,7994,0.2146891684664092
Diphtheria,75% lower,7231,0.19763096325319765
Diphtheria,75% lower,8148,0.21814633682578333
Diphtheria,75% lower,8638,0.22913484935799294
Diphtheria,75% lower,8155,0.21827804879283585
Diphtheria,75% lower,8568,0.22756809772546593
Diphtheria,75% lower,6615,0.18394636031714537
Diphtheria,75% lower,7315,0.19951408706053717
Diphtheria,75% lower,7252,0.19753879048081116
Diphtheria,75% lower,7406,0.201555429824812
Diphtheria,75% lower,8232,0.2200425033569896
Diphtheria,75% lower,6720,0.1862984818877405
Diphtheria,75% lower,8743,0.2314943371968217
Diphtheria,75% lower,8617,0.22868756377466454
