result_cat,pathogen_cat,vaccine_coverage_cat,state,mean,p025,p975
PSA result,Rubella,5% lower,US,231.66702000000382,118.94725,359.51725
Primary result,Rubella,Current levels,US,190.106,154,230
PSA result,Rubella,Current levels,US,192.47214000000122,99.08800000000001,292.74625
Primary result,Rubella,5% higher,US,160.47449999999998,130,193.02499999999986
PSA result,Rubella,5% higher,US,161.43602999999976,83.65124999999999,248.12424999999996
Primary result,Rubella,10% higher,US,140.945,113,170
PSA result,Rubella,10% higher,US,141.8096500000005,73.7755,216.72625
Primary result,Diphtheria,50% lower,US,196.52570000000014,1,1026.8999999999842
PSA result,Diphtheria,50% lower,US,137815.609600001,6.5184999999999995,2183420.0364999976
Primary result,Diphtheria,45% lower,US,38.609999999999935,1,409.0749999999996
PSA result,Diphtheria,45% lower,US,60919.401799999294,6.0295000000000005,1611591.0449999995
Primary result,Diphtheria,40% lower,US,17.50409999999999,1,148.02499999999986
PSA result,Diphtheria,40% lower,US,13616.519499999033,5.7197499999999994,1003320.1464999989
Primary result,Diphtheria,35% lower,US,12.941400000000002,1,84
PSA result,Diphtheria,35% lower,US,36.88186000000099,5.58875,668343.2622499982
Primary result,Diphtheria,30% lower,US,11.897900000000007,1,64.02499999999986
PSA result,Diphtheria,30% lower,US,16.11653999999988,5.439750000000001,389386.9644999987
Primary result,Diphtheria,25% lower,US,11.1484,1,52
PSA result,Diphtheria,25% lower,US,12.44797999999987,4.8572500000000005,142379.32149999987
Primary result,Diphtheria,20% lower,US,9.943500000000006,1,38
PSA result,Diphtheria,20% lower,US,11.287559999999704,4.74975,40485.438749999994
Primary result,Diphtheria,15% lower,US,9.638999999999998,1,33.024999999999864
PSA result,Diphtheria,15% lower,US,10.185449999999996,4.46925,141.44749999999956
Primary result,Diphtheria,10% lower,US,8.964399999999996,1,28
PSA result,Diphtheria,10% lower,US,9.621690000000052,4.4195,29.115249999999996
Primary result,Diphtheria,5% lower,US,8.609,1,25
PSA result,Diphtheria,5% lower,US,9.029819999999985,4.33,18.680999999999997
Primary result,Diphtheria,Current levels,US,8.285000000000002,1,22
PSA result,Diphtheria,Current levels,US,8.560270000000049,4.069500000000001,17.227749999999993
Primary result,Diphtheria,5% higher,US,8.036999999999999,1,22
PSA result,Diphtheria,5% higher,US,8.26086999999996,4.0795,15.81125
Primary result,Diphtheria,10% higher,US,7.895999999999999,1,21.024999999999864
PSA result,Diphtheria,10% higher,US,8.024499999999842,4.019749999999999,14.511499999999998
Primary result,Polio,50% lower,US,4332220.038999998,4,21497369.34999998
PSA result,Polio,50% lower,US,4422524.115899938,234616.74725000001,10683517.32925
Primary result,Polio,45% lower,US,3477540.707400001,4,18446912.97499999
PSA result,Polio,45% lower,US,3628986.8793700505,35968.50500000002,9373490.5975
Primary result,Polio,40% lower,US,2758727.352599997,4,16787760.474999994
PSA result,Polio,40% lower,US,2843611.690069946,2820.681000000003,8531486.448499998
Primary result,Polio,35% lower,US,1677126.2984000007,4,14880807.849999998
PSA result,Polio,35% lower,US,2115771.959920023,46.24725,7316368.998
Primary result,Polio,30% lower,US,878245.5951999999,4,12290026.324999996
PSA result,Polio,30% lower,US,1426289.790159953,25.89025,6179198.998
Primary result,Polio,25% lower,US,87577.59039999994,3,1700736.949999998
PSA result,Polio,25% lower,US,813211.9645799752,18.5595,4856171.73325
Primary result,Polio,20% lower,US,416.8994999999992,3,8886.749999999964
PSA result,Polio,20% lower,US,284869.7720800034,15.4685,3310282.351
Primary result,Polio,15% lower,US,41.369099999999996,4,304.02499999999986
PSA result,Polio,15% lower,US,17826.376789999176,12.58875,1793025.1034999986
Primary result,Polio,10% lower,US,27.400599999999997,3,119.02499999999986
PSA result,Polio,10% lower,US,45.78761000000028,11.3085,357674.4474999997
Primary result,Polio,5% lower,US,21.274,4,78
PSA result,Polio,5% lower,US,25.019949999999493,9.34775,1214.3069999999893
Primary result,Polio,Current levels,US,18.265000000000008,3,61.024999999999864
PSA result,Polio,Current levels,US,20.167650000000222,8.786,57.54899999999996
Primary result,Polio,5% higher,US,15.841399999999997,3,49
PSA result,Polio,5% higher,US,17.50490000000008,8.009,35.640249999999995
Primary result,Polio,10% higher,US,15.546500000000004,3,49
PSA result,Polio,10% higher,US,16.40194999999991,7.4795,33.29824999999998
