pathogen_cat,metric_cat,state,vaccine_coverage_cat,time,winsorized_mean,mean,p025,p975
Measles,Cumulative new infections,US,Current levels,252,89.3334,90.04800000000002,30,204.02499999999986
Measles,Cumulative new infections,US,Current levels,254,90.3146,91.0145,30,207
Measles,Cumulative new infections,US,Current levels,256,91.24539999999999,91.9875,30,207
Measles,Cumulative new infections,US,Current levels,258,92.2365,92.9805,31,210.02499999999986
Measles,Cumulative new infections,US,Current levels,260,93.1709,93.952,31,212.02499999999986
Measles,Cumulative new infections,US,Current levels,262,94.16400000000002,94.94149999999999,31,214.04999999999973
Measles,Cumulative new infections,US,Current levels,264,95.13390000000001,95.93500000000002,32,216.02499999999986
Measles,Cumulative new infections,US,Current levels,266,96.09499999999998,96.89050000000002,32,219
Measles,Cumulative new infections,US,Current levels,268,97.01849999999999,97.853,32,221
Measles,Cumulative new infections,US,Current levels,270,97.9489,98.8345,33,222.04999999999973
Measles,Cumulative new infections,US,Current levels,272,99.00309999999998,99.85749999999999,33,225
Measles,Cumulative new infections,US,Current levels,274,99.94800000000001,100.84350000000003,33,227
Measles,Cumulative new infections,US,Current levels,276,100.90790000000001,101.82699999999998,34,229.02499999999986
Measles,Cumulative new infections,US,Current levels,278,101.90990000000002,102.84949999999998,34,232
Measles,Cumulative new infections,US,Current levels,280,102.84540000000001,103.8345,35,233
Measles,Cumulative new infections,US,Current levels,282,103.84489999999998,104.83849999999998,36,235
Measles,Cumulative new infections,US,Current levels,284,104.8304,105.86550000000001,36,236.04999999999973
Measles,Cumulative new infections,US,Current levels,286,105.77260000000003,106.81450000000001,36,238.02499999999986
Measles,Cumulative new infections,US,Current levels,288,106.8011,107.82900000000002,37,241
Measles,Cumulative new infections,US,Current levels,290,107.7464,108.80499999999998,37,242.04999999999973
Measles,Cumulative new infections,US,Current levels,292,108.76599999999999,109.79100000000003,38,245
Measles,Cumulative new infections,US,Current levels,294,109.74390000000001,110.794,38,246.02499999999986
Measles,Cumulative new infections,US,Current levels,296,110.79799999999999,111.8415,39,249
Measles,Cumulative new infections,US,Current levels,298,111.7645,112.83700000000002,40,250
Measles,Cumulative new infections,US,Current levels,300,112.77000000000001,113.87349999999999,40,252.02499999999986
Measles,Cumulative new infections,US,Current levels,302,113.7424,114.883,40.975,255.02499999999986
Measles,Cumulative new infections,US,Current levels,304,114.74859999999998,115.92400000000002,41,256.0499999999997
Measles,Cumulative new infections,US,Current levels,306,115.85259999999998,116.9885,41,257.0499999999997
Measles,Cumulative new infections,US,Current levels,308,116.8473,118.004,41.975,260.02499999999986
Measles,Cumulative new infections,US,Current levels,310,117.8449,119.00600000000001,42,261.02499999999986
Measles,Cumulative new infections,US,Current levels,312,118.86170000000001,120.00750000000002,42,263
Measles,Cumulative new infections,US,Current levels,314,119.84050000000002,121.01299999999999,43,266
Measles,Cumulative new infections,US,Current levels,316,120.84099999999998,122.044,43,267.02499999999986
Measles,Cumulative new infections,US,Current levels,318,121.94649999999999,123.08250000000001,44,268.02499999999986
Measles,Cumulative new infections,US,Current levels,320,122.909,124.10600000000001,44,271
Measles,Cumulative new infections,US,Current levels,322,123.9058,125.15899999999999,44,274
Measles,Cumulative new infections,US,Current levels,324,124.88159999999999,126.1835,45,276.0499999999997
Measles,Cumulative new infections,US,Current levels,326,125.87549999999999,127.20300000000002,45,279.0499999999997
Measles,Cumulative new infections,US,Current levels,328,126.968,128.22599999999994,45,279.09999999999945
Measles,Cumulative new infections,US,Current levels,330,128.00119999999998,129.26250000000005,46,284.0499999999997
Measles,Cumulative new infections,US,Current levels,332,129.0354,130.323,46,286.02499999999986
Measles,Cumulative new infections,US,Current levels,334,130.0295,131.3455,48,288
Measles,Cumulative new infections,US,Current levels,336,130.98499999999999,132.36100000000002,48,291
Measles,Cumulative new infections,US,Current levels,338,132.0348,133.4055,48,291.0499999999997
Measles,Cumulative new infections,US,Current levels,340,133.0031,134.43250000000006,48,294.0499999999997
Measles,Cumulative new infections,US,Current levels,342,134.05679999999998,135.483,48.975,296.0499999999997
Measles,Cumulative new infections,US,Current levels,344,135.07219999999998,136.53199999999998,49,299.02499999999986
Measles,Cumulative new infections,US,Current levels,346,136.1316,137.58450000000002,50,300.0749999999996
Measles,Cumulative new infections,US,Current levels,348,137.19299999999998,138.63449999999995,50,303.0499999999997
Measles,Cumulative new infections,US,Current levels,350,138.30200000000002,139.68250000000003,50,305.02499999999986
Measles,Cumulative new infections,US,Current levels,352,139.3484,140.7295,50.975,308.0499999999997
Measles,Cumulative new infections,US,Current levels,354,140.3539,141.74899999999997,51,312
Measles,Cumulative new infections,US,Current levels,356,141.33379999999997,142.78699999999998,52,312.02499999999986
Measles,Cumulative new infections,US,Current levels,358,142.3585,143.837,52.975,315
Measles,Cumulative new infections,US,Current levels,360,143.3949,144.927,53,317.02499999999986
Measles,Cumulative new infections,US,Current levels,362,144.51660000000004,145.98300000000003,54,320.02499999999986
Measles,Cumulative new infections,US,Current levels,364,145.55499999999998,147.06550000000001,54,323.02499999999986
Measles,Cumulative new infections,US,Current levels,366,146.56490000000002,148.1,54.975,325.02499999999986
Measles,Cumulative new infections,US,Current levels,368,147.6546,149.171,55.975,327.02499999999986
Measles,Cumulative new infections,US,Current levels,370,148.76789999999997,150.26850000000002,56,328.0749999999996
Measles,Cumulative new infections,US,Current levels,372,149.89459999999997,151.36700000000002,57,332.02499999999986
Measles,Cumulative new infections,US,Current levels,374,150.9284,152.44549999999998,57,334.02499999999986
Measles,Cumulative new infections,US,Current levels,376,152.04630000000003,153.548,58,336
Measles,Cumulative new infections,US,Current levels,378,153.11069999999995,154.61199999999994,58,336.02499999999986
Measles,Cumulative new infections,US,Current levels,380,154.19379999999998,155.69099999999997,58.975,337
Measles,Cumulative new infections,US,Current levels,382,155.27670000000003,156.761,59,340.02499999999986
Measles,Cumulative new infections,US,Current levels,384,156.3643,157.827,60,341.02499999999986
Measles,Cumulative new infections,US,Current levels,386,157.44330000000002,158.89249999999998,60,344
Measles,Cumulative new infections,US,Current levels,388,158.5269,159.98650000000004,60.975,346
Measles,Cumulative new infections,US,Current levels,390,159.645,161.08900000000003,61,349.02499999999986
Measles,Cumulative new infections,US,Current levels,392,160.7004,162.15949999999998,61,350.02499999999986
Measles,Cumulative new infections,US,Current levels,394,161.78939999999997,163.23499999999993,62,353.02499999999986
Measles,Cumulative new infections,US,Current levels,396,162.88769999999997,164.34100000000004,63,356.02499999999986
Measles,Cumulative new infections,US,Current levels,398,163.93929999999995,165.39299999999997,63.975,356.0749999999996
Measles,Cumulative new infections,US,Current levels,400,165.02499999999995,166.4665,63.975,358.02499999999986
Measles,Cumulative new infections,US,Current levels,402,166.13840000000005,167.57949999999997,64,362.02499999999986
Measles,Cumulative new infections,US,Current levels,404,167.1418999999999,168.6265,64,363.1249999999993
Measles,Cumulative new infections,US,Current levels,406,168.25589999999997,169.74149999999997,65,366.1249999999993
Measles,Cumulative new infections,US,Current levels,408,169.2918999999999,170.79000000000002,65,368.09999999999945
Measles,Cumulative new infections,US,Current levels,410,170.3589,171.891,66,370.0749999999996
Measles,Cumulative new infections,US,Current levels,412,171.40199999999996,172.916,66,374.02499999999986
Measles,Cumulative new infections,US,Current levels,414,172.47149999999996,173.962,66,376
